"","x"
"1392","MARK2"
"1393","HTRA2"
"1394","LRRC45"
"1395","KMT2A"
"1396","SP5"
"1397","SP5"
"1398","EIF1B"
"1399","RASSF3"
"1400",""
"1401","LPCAT1"
"1402","PHF13"
"1403","ADIPOR1"
"1404",""
"1405","POLR1B"
"1406","BCL7A"
"1407","MLXIP"
"1408","CRLF3"
"1409","FYTTD1"
"1410","PCYOX1"
"1411","PCYOX1"
"1412","CRY1"
"1413","FOSL2"
"1414","CHEK1"
"1415","WDR43"
"1416","SPI1"
"1417","GRN"
"1418","PPP4R2"
"1419","GPATCH8"
"1420","CLCC1"
"1421","HNRNPA0"
"1422","MED1"
"1423","CDK12"
"1424","MANF"
"1425","C5orf15"
"1426","DUSP6"
"1427",""
"1428","TUBA1A"
"1429","CHD1"
"1430","SREBF1"
"1431","SREBF1"
"1432","CHD1-DT"
"1433","DAP"
"1434","PKP3"
"1435","SORL1"
"1436","SF3B6"
"1437","BCL6"
"1438",""
"1439","CHMP3-AS1"
"1440","RNF103"
"1441","SPATA20"
"1442","SARS1"
"1443","MED13"
"1444","CELSR2"
"1445","CELSR2"
"1446","AGAP1"
"1447","MRPL44"
"1448","RMND5A"
"1449","VAMP2"
"1450","BLTP2"
"1451","NFE2L2"
"1452","MAML1"
"1453","HES1"
"1454","TMEM43"
"1455","UQCRC1"
"1456","RBM22"
"1457","TGFBR2"
"1458","KSR1"
"1459","PANK3"
"1460","RICTOR"
"1461","CLTC"
"1462","WDR82"
"1463","CPOX"
"1464","CPOX"
"1465","ZC3H15"
"1466","PPP1CB"
"1467","DEPDC1B"
"1468","TEX261"
"1469","MCM2"
"1470","STAT3"
"1471","LNPEP"
"1472","SNORD3B-1"
"1473","TRIP12"
"1474","PUM2"
"1475","ATG12"
"1476","ZFP36L2"
"1477","TP53BP2"
"1478","B3GALT6"
"1479","APH1A"
"1480","ACAP3"
"1481","GLS"
"1482","TMEM201"
"1483","MCM6"
"1484","ARF1"
"1485","ARF1"
"1486","WASF2"
"1487","PASK"
"1488","NFIA"
"1489","ATL2"
"1490","ATL2"
"1491","STRN"
"1492","MERTK"
"1493","ZNF687"
"1494","CNOT9"
"1495","CNOT9"
"1496","FAM136A"
"1497",""
"1498","INO80D"
"1499","TARDBP"
"1500","TARDBP"
"1501","DNAJB4"
"1502","GATAD2B"
"1503","STARD7"
"1504","SNRNP200"
"1505","SPEN"
"1506","SPRED2"
"1507","SKI"
"1508","TOR3A"
"1509","TOR1AIP2"
"1510","BTG2"
"1511","RPL22"
"1512","PTGER3"
"1513","KIAA2013"
"1514","YRDC"
"1515","LRRC41"
"1516","TRIM33"
"1517","BCAS2"
"1518","CHTOP"
"1519","PROX1"
"1520","PROX1"
"1521","DEGS1"
"1522","CNIH3"
"1523","PLEKHM2"
"1524","ASAP3"
"1525","LAPTM5"
"1526","CDC73"
"1527","LYPLA2"
"1528","ARID1A"
"1529","PCSK9"
"1530","PRDX6"
"1531","DHRS3"
"1532","TRMT1L"
"1533","NUCKS1"
"1534","SLC41A1"
"1535","ARHGEF11"
