"","x"
"328","TUBB4B"
"329","NELFB"
"330","TOR4A"
"331","NRARP"
"332","NEDD4L"
"333","USP12"
"334","SH3BGRL2"
"335","FUCA2"
"336","ANKS4B"
"337","HELZ"
"338","APEX2"
"339","APEX2"
"340","TRIB1"
"341","ATAD2"
"342","RNF149"
"343","UQCRC2"
"344","PSMB1"
"345","SOBP"
"346","SOBP"
"347","TOP2A"
"348","ARFGAP3"
"349","NSD3"
"350","TUFM"
"351","TUFM"
"352","CDC25B"
"353","TULP4"
"354","LAPTM4A"
"355","NET1"
"356","NET1"
"357","PHF10"
"358","RABGAP1"
"359","IGF2BP1"
"360","FOXK2"
"361","FOXK2"
"362","SOX12"
"363","PCK2"
"364","STT3A"
"365","TM4SF1"
"366","TM4SF1"
"367","EIF3D"
"368","TAOK2"
"369","TAOK2"
"370","KDM4A"
"371","SIAH2"
"372","SPCS3"
"373","PPP6R1"
"374","ABHD2"
"375","EI24"
"376","EGFL7"
"377","EGFL7"
"378","MFSD9"
"379","DNAJB9"
"380","DNAJB9"
"381","SMNDC1"
"382","ZGPAT"
"383","CRIM1"
"384","LCOR"
"385","MIR4479"
"386","PXYLP1"
"387","CD82"
"388","PHF3"
"389","PHF3"
"390","CD2BP2"
"391","TBC1D10B"
"392",""
"393","GLG1"
"394","SLC25A42"
"395","RNF144B"
"396","NOP9"
"397","HS6ST1"
"398","ATXN7L3B"
"399","YTHDF3"
"400","RNA5SP450"
"401","SOWAHC"
"402","P2RY1"
"403","SUPT5H"
"404","PIGQ"
"405","GRAP2"
"406","CEBPB"
"407","CHCHD2"
"408","TNFSF9"
"409","MIB1"
"410","RAB21"
"411","MESD"
"412","LMAN1"
"413","ZNF740"
"414","IRF2BP1"
"415","HNMT"
"416","MYPOP"
"417","ATMIN"
"418","MLLT10"
"419","HIPK2"
"420","EHD2"
"421","CDC42BPG"
"422","ABCB7"
"423","SAP30"
"424","TCP1"
"425","MED28"
"426","DCAF16"
"427","NCAPG"
"428","MSANTD7"
"429","HBG1"
"430","PEX6"
"431","COA7"
"432","SOX9"
"433","ALG10"
"434","CHST2"
"435","SCAF11"
"436","PLXNC1"
"437","LUC7L2"
"438","AARS1"
"439","FAM117A"
"440","TAPT1"
"441","ING3"
"442","DCAF12"
"443","SPRY1"
"444","POLR2B"
"445","PKN1"
"446","LNPK"
"447","GTPBP4"
"448","FAAP100"
"449","SRF"
"450","TERF2IP"
"451","DNPH1"
"452","TMEM164"
"453","LINC02878"
"454","BCL2L2"
"455","PIAS1"
"456","PPIF"
"457","PPIF"
"458",""
"459",""
"460","ZNF282"
"461","YIPF6"
"462","GTF2A1"
"463","GTF2A1"
"464","GOLIM4"
"465","FTL"
"466","RRAGA"
"467","BEND3P3"
"468","THRA"
"469","CKAP4"
"470","MPRIP"
"471","MPRIP"
"472","RBX1"
"473","SMARCB1"
"474","ZNF326"
"475","COPG2"
"476",""
"477","TENT5C"
"478","ERG28"
"479","TRMT2A"
"480","TMTC3"
"481","CHMP1B"
"482","WDR3"
"483","CCNI"
"484","KLB"
"485","NLGN2"
"486",""
"487","PRDX4"
"488","RPL28"
"489","PIKFYVE"
"490","ANPEP"
"491","OSGIN1"
"492","SNRPB"
"493","SNRPB"
"494","FIZ1"
"495","SURF6"
"496","GPC2"
"497",""
"498","EPN1"
"499","EPN1"
"500","SENP2"
"501","PPP1R35-AS1"
"502","MIR608"
"503","BAMBI"
"504","ZNF511"
"505","CSF1"
"506","UBXN7"
"507","CDIPT"
"508","ETV5"
"509","SERPINA11"
"510",""
"511","LAMC1"
"512","LAMC1"
"513","PPAN"
"514","PPAN"
"515","COX8A"
"516","STIP1"
"517","CMAS"
"518","SFT2D2"
"519","ICAM1"
"520","C6orf47"
"521","STARD8"
"522","SCO1"
"523","CCDC97"
"524","GGA2"
"525","RNF141"
"526","GATA2-AS1"
"527","TRIP11"
"528","ZNF175"
"529","DCTN5"
"530","BRK1"
"531","PDCD7"
"532","CLPX"
"533","LRP1"
"534","SLC39A10"
"535","JUND"
"536","SH3GLB2"
"537","PGPEP1"
"538","UTP20"
"539","PDPK1"
"540","HS3ST3B1"
"541",""
"542","SPHK1"
"543","CCDC85B"
"544","FOSL1"
"545","UBE2O"
"546","XPO5"
"547","TUBGCP2"
"548","DSG2"
"549","UGGT1"
"550","EIF1AD"
"551","PGC"
"552","BANF1"
"553","EIF4EBP2"
"554",""
"555","CHSY1"
"556","CHSY1"
"557","GALNT11"
"558","PNN"
"559","PPP3R1"
"560","PCK1"
"561","LINC01003"
"562","NUP188"
"563","ARL1"
"564","GSR"
"565","GSR"
"566","B4GAT1"
"567","ITPR2"
"568","LSM2"
"569","HSPA1B"
"570","DNAJC12"
"571","ZBTB12"
"572","PEBP1"
"573","PEBP1"
"574","YWHAG"
"575","CHP1"
"576","RPS15"
"577","SLC39A14"
"578","GPSM1"
"579","TIMP3"
"580","POMT1"
"581","KIF18B"
"582","GARRE1"
"583","IVNS1ABP"
"584","SFMBT2"
"585","NEU1"
"586",""
"587","CETN2"
"588","LYL1"
"589","EIF2S3"
"590","KLF13"
"591","ABCF1"
"592","GRWD1"
"593","PAFAH1B2"
"594","GPS2"
"595","PHF6"
"596","RPL18"
"597","CAMK2N2"
"598","SLC35F5"
"599","B3GNT2"
"600","PTPRK"
"601","TNKS1BP1"
"602","SSRP1"
"603","TOMM20"
"604","TADA1"
"605","BNIP3"
"606","RNF216"
"607","ZMIZ1"
"608","PSAP"
"609","MRPL12"
"610","MARCHF7"
"611","SLC17A7"
"612","DGCR2"
"613","ADIPOR2"
"614","ADIPOR2"
"615","NKD1"
"616","NKD1"
"617","NSL1"
"618","ACIN1"
"619",""
"620","H3-3B"
"621","PPP2R5A"
"622","FKBP14"
"623","TRIM47"
"624",""
"625","TRIM65"
"626","MYORG"
"627","YME1L1"
"628",""
"629","PFKFB2"
"630","SRP68"
"631","UGCG"
"632","COIL"
"633","NCS1"
"634","SPTB"
"635","ZNF189"
"636","CMTR1"
"637","KLF9"
"638","PIGU"
"639","MARS1"
"640","DYNLL2"
"641","CHAF1A"
"642","CHAF1A"
"643","STRN3"
"644","MBD6"
